source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref
5009738948856171008,23.09327908546932,-37.949257264678806,9.663728977164872,169.9563,545.9358,382.8891825437127,-389.15520614171726,16.906021,18.355978,15.733291,2.6226873,0.093810976,0.9962614,LP  939-81,PM*,7
1912843404164016000,352.8297707212181,36.35825038911256,10.131719585272563,303.12833,545.5974,540.651924062235,-73.29422950193208,15.662972,16.537003,14.75063,1.7863722,0.0,0.96157855,LP  290-37,PM*,7
6812723274339616896,330.84582137950963,-23.996251294530836,28.762403616606274,526.5166,545.23914,539.6588571297075,-77.80773066249253,16.085588,18.406143,14.70157,3.7045736,0.18056223,0.9607794,PM J22033-2359,PM*,7
2310987697135287552,358.1892844179101,-36.54114000190572,6.597729763831056,68.47911,545.03644,-196.7190649690631,-508.29747525853145,17.283373,18.407581,16.221973,2.185608,0.18606625,1.0942634,LP  936-10,PM*,4
862261551355294208,166.56624263376847,62.1764225729729,7.302973381190115,95.2731,542.3676,-111.99056051813751,-530.6795270961813,17.720474,19.183872,16.574606,2.6092663,0.0,0.9819627,LP   93-303,PM*,7
421390240829409920,5.037458893876345,55.44377101143022,13.049941432762877,505.2781,542.1782,446.0025583881135,308.2838673112202,15.187997,16.218681,14.178371,2.04031,0.053654768,1.0462945,LSR J0020+5526,PM*,6
1688033820773488768,197.1382483534013,72.16523564550447,6.573273721918919,512.197,541.82263,-540.2992046260298,-40.601796275476666,13.762947,14.459375,12.955012,1.5043631,0.0,1.0161934,G 237-88,PM*,8
1251651399604535168,208.53873476907955,23.11716647814264,7.95956051149839,102.3994,541.76276,102.48264174396952,-531.98139036427,17.276464,18.589603,16.156168,2.4334354,0.0,0.9508431,LP  380-18,PM*,8
1557221761322060800,195.4871622156456,50.70021847290968,9.048860481217732,329.8284,540.51227,-57.88001449904975,-537.4043378451745,15.406759,16.33325,14.453144,1.880106,0.0,1.0487075,G 177-13,PM*,8
2607013713807195648,344.52516677846586,-8.607966264107498,8.956915223258617,237.41714,540.378,457.5913650814085,-287.43438054861963,15.311908,16.183643,14.397612,1.7860317,0.0,0.9669421,LP  761-79,PM*,8
2287097542848140032,334.0437181910034,81.4805307924895,30.39157463206148,888.8894,540.3641,454.17883992916376,292.77108484185027,15.712307,17.987322,14.347496,3.6398258,0.23563032,1.0807457,2MASS J22160711+8128452,PM*,6
5053553117130204032,50.18159636458586,-33.46728444558784,7.517123365460826,434.07843,539.89197,12.327780933176427,-539.7512001981526,11.301654,11.65156,10.777742,0.87381744,0.15021676,1.1060252,LP  943-81,PM*,5
2476702584980275072,16.267206134161203,-6.383905819202151,23.682601022130655,400.4333,539.6736,538.5477311752077,34.841759171207094,15.895493,17.979044,14.561107,3.4179373,0.16334936,1.0530987,LP  646-61,PM*,9
1639422521924240768,234.303284498697,61.41842139544681,9.503378107567697,183.54938,539.16846,-539.1638856480091,-2.2227067026862835,17.0509,18.276377,15.958037,2.3183393,0.092136465,1.0390955,LP   99-403,PM*,6
